subject,Eprime.LevelName,Sample,Cycle,Running,Procedure,ITI,CSplus,CSmin1,CSmin2,VasScore_verwachting,VasScore_Angst,VasScore_PreCS1,VasScore_PreCS2,VasScore_PreCS3,VasScore_PostCS1,VasScore_PostCS2,VasScore_PostCS3,VasScore_FilmOnaangenaam,VasScore_CueOnaangenaam,OefenVASverwachting.RT,OefenVASverwachting.RESP,OefenVASAngst.RT,OefenVASAngst.RESP,CS1VAS.RT,CS1VAS.RESP,CS2VAS.RT,CS2VAS.RESP,CS3VAS.RT,CS3VAS.RESP,CSmin1Verwachting.RT,CSmin1Verwachting.RESP,CSmin1Angst.RT,CSmin1Angst.RESP,CSmin2Verwachting.RT,CSmin2Verwachting.RESP,CSmin2Angst.RT,CSmin2Angst.RESP,CSplusVerwachting.RT,CSplusVerwachting.RESP,CSplusAngst.RT,CSplusAngst.RESP,Geslacht.RESP,Leeftijd.RESP
2,AcqTrial6A_2,2,1,AcqTrial6A,CSmin1,2000,NA,NA,NA,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1754,1,1374,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,AcqTrial6A_3,3,1,AcqTrial6A,CSminus2,4000,NA,NA,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,929,1,1858,1,NA,NA,NA,NA,NA,NA
2,Acquisition_1,1,1,Acquisition,Acq,4000,man1.jpg,man3.jpg,man2.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Demog_1,1,1,Demog,DemoProc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,man{ENTER},22{ENTER}
2,QuestionsExit_1,1,1,QuestionsExit,ExitQuestions,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,38,10,38,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Header_,NA,NA,Header,Header,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,PracticeVAS_1,1,1,PracticeVAS,OefenVASproc,4000,NA,NA,NA,87,0,NA,NA,NA,NA,NA,NA,NA,NA,0,,2501,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,PracticeVAS_1,2,2,PracticeVAS,OefenVASproc,4000,NA,NA,NA,62,3,NA,NA,NA,NA,NA,NA,NA,NA,3435,1,2445,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,PracticeVAS_1,3,3,PracticeVAS,OefenVASproc,4000,NA,NA,NA,76,1,NA,NA,NA,NA,NA,NA,NA,NA,2033,1,1585,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,HabTrials_2,1,1,HabTrials,CS2,2000,NA,NA,NA,60,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,HabTrials_1,2,1,HabTrials,CS1,4000,NA,NA,NA,95,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,HabTrials_3,3,1,HabTrials,CS3,2000,NA,NA,NA,62,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,HabTrials_2,4,2,HabTrials,CS2,6000,NA,NA,NA,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,HabTrials_1,5,2,HabTrials,CS1,6000,NA,NA,NA,84,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,HabTrials_3,6,2,HabTrials,CS3,4000,NA,NA,NA,58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Habituation_1,1,1,Habituation,HabProc,4000,NA,NA,NA,NA,NA,69,37,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,10262,1,5199,1,7717,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,AcqTrial1A_1,1,1,AcqTrial1A,CSplus,2000,NA,NA,NA,90,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2403,1,1775,1,NA,NA
3,AcqTrial1A_2,2,1,AcqTrial1A,CSmin1,2000,NA,NA,NA,38,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,2280,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,AcqTrial1A_3,3,1,AcqTrial1A,CSminus2,6000,NA,NA,NA,63,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,43,1,NA,NA,NA,NA,NA,NA
3,AcqTrial2A_3,1,1,AcqTrial2A,CSminus2,6000,NA,NA,NA,62,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2945,1,1978,1,NA,NA,NA,NA,NA,NA
